F1,F2,F3,F4,F5
18.5,0,0.2,0,44
4.1,0,0.2,0,52
11.9,0,0.2,0,56
22.7,0,0.2,0,33
21.3,0,0.2,0,46
21.5,0,0.2,0,46
-0.9,0,0.2,0,54
18.3,0,0.2,0,35
25.1,0,0.2,0,63
10.5,0,0.2,0,64
6.5,0,0.2,0,42
10.8,0,0.2,0,32
24.3,0,0.2,0,58
17.3,0,0.2,0,36
15.2,0,0.2,0,35
8.1,0,0.2,0,38
2.7,0,0.2,0,35
-1,0,0.2,0,52
18.1,0,0.2,0,46
13.5,0,0.2,0,32
24,0,0.2,0,32
21.5,0,0.2,0,42
23.9,0,0.2,0,44
21,0,0.2,0,66
3.3,0,0.2,0,46
23.4,0,0.2,0,40
1.4,0,0.2,0,76
4.1,0,0.2,0,40
6.1,0,0.2,0,53
14,0,0.2,0,52
19.2,0,0.2,0,36
8.7,0,0.2,0,52
14.5,0,0.2,0,34
14.4,0,0.2,0,42
8,0,0.2,0,57
10.1,0,0.2,0,54
3.2,0,0.2,0,56
10.2,0,0.2,0,38
19.7,0,0.2,0,58
20.6,0,0.2,0,45
23,0,0.2,0,47
13,0,0.2,0,64
9.6,0,0.2,0,45
24.6,0,0.2,0,32
10.2,0,0.2,0,60
21.6,0,0.2,0,58
8.6,0,0.2,0,62
18.6,0,0.2,0,40
19.5,0,0.2,0,59
10.3,0,0.2,0,69
4.2,0,0.2,0,38
7.5,0,0.2,0,80
24.1,0,0.2,0,36
14.3,0,0.2,0,72
14.4,0,0.2,0,44
10.3,0,0.2,0,48
26.6,0,0.2,0,50
-1.6,0,0.3,0,44
25.8,0,0.3,0,53
24.9,0,0.3,0,52
4.2,0,0.3,0,34
8.1,0,0.3,0,57
9,0,0.3,0,42
20.1,0,0.3,0,38
10.4,0,0.3,0,58
-5.4,0,0.3,0,58
15.9,0,0.3,0,31
-2.4,0,0.3,0,55
-2.2,0,0.3,0,32
25,0,0.3,0,34
-5,0,0.3,0,70
-0.8,0,0.3,0,32
1.5,0,0.3,0,42
15.7,0,0.3,0,36
6.8,0,0.3,0,45
24.9,0,0.3,0,40
-1.8,0,0.3,0,33
-2,0,0.3,0,57
17.5,0,0.3,0,40
0.6,0,0.3,0,44
10.5,0,0.3,0,65
-0.8,0,0.3,0,32
16.9,0,0.3,0,50
0.4,0,0.3,0,59
8.7,0,0.3,0,36
22.1,0,0.3,0,33
0.7,0,0.3,0,55
15.9,0,0.3,0,36
